AdGroup ID,Name,Campaign ID,Records(since 2018-01-01)
2680061841086,PinBid1_KW0_LAL810PxC09Makeup_i32W_LPX_C0920_US_TR_GE_off1_Mobile,626738660046,6
2680061700634,PinOT_KW3_AllPages180_C02i33W-NW_LPX_C0811_US_TR_GE_off1_Mobile,626738597777,0
2680059701465,Ad Group For Pin: 687195412177,626735481623,0
2680059701438,Ad Group For Pin: 687195412115,626735481615,2
2680059701599,Ad Group For Pin: 687195412102,626735481656,13
2680059701099,Ad Group For Pin: 687195412173,626735481539,18
2680061700628,PinOT_KW3_AllPages180_C02i33W-NW_LPX_C0811_US_TR_GE_off1_Web,626738597782,0
2680061039669,Ad Group For Pin: BCS13,626736722548,98
2680060002103,Ad Group For Pin: 687195080976,626734585678,15
2680060561615,Ad Group For Pin: 687195789532,626735689406,0
2680061841082,PinOT_KW0_LAL810PxC09Makeup_C01i31_LPX_C0920_US_TR_GE_off1_Web,626738660044,1
2680060117346,Ad Group For Pin: 687195316009,626734656814,41
2680060117078,Ad Group For Pin: 687195315919,626734656756,0
2680059758571,Ad Group For Pin: 687195022809,626734563551,82
2680060086223,Ad Group For Pin: 687195511671,626735531453,70
2680059862214,Ad Group For Pin: 687195048676,626734574926,69
2680060190946,Ad Group For Pin: 687195341806,626735453353,20
2680061626148,PinOT_KW3_AllPages180_C07Summerv2_LPX_C0721_US_TR_XP13x_off1,626737772104,4
2680060152907,Ad Group For Pin: 687195122901,626734601378,9
2680061626023,PinOT_KW2_Csummer_PApplS_LPX_C0721_US_TR_XP13x_off1,626737772075,0
2680060956422,Ad Group For Pin: 687196190143,626736667414,3
2680061431280,PinOT_KW2_HB2_C01i31_LPX_C0519_US_TR_XP12c_off1,626737679753,102
2680059701327,Ad Group For Pin: 687195412199,626735481591,1
2680059707671,Ad Group For Pin: 687195206906,626734623879,44
2680059701864,Ad Group For Pin: 687195412248,626735481717,1
2680060956364,Ad Group For Pin: 687196190085,626736667357,0
2680060003097,Ad Group For Pin: 687194921613,626734514834,0
2680062264070,PinBid1_KW2_C09HBInt_C02i33P-NW_LPX_C0920_US_TR_GE_off1_Mobile,626739664223,102
2680059700914,Ad Group For Pin: 687195411978,626735481494,0
2680060124603,Ad Group For Pin: 687195318809,626734657881,0
2680062769797,SeedBid2_US_KWBox_20180702_off1_XP0_LPX_Search_oCPI_1T_Android_v2,626739922749,4
2680061971725,Pin_KW42I010P_MU2_C08Glitter_LP1_C1020_US_TR_XP0_Off1_D1,626738705915,0
2680060124500,Ad Group For Pin: 687195318812,626734657848,2
2680059701366,Ad Group For Pin: 687195412022,626735481599,1
2680061533660,PinOT_KW2_C06C07_B12i30P_LPA_C0619_US_TR_XP12x_off0_All_All_High,626737725792,35
2680060191083,Ad Group For Pin: 687195341843,626735453389,2
2680061548526,PinOT_KW2_TopGL_C02i33P-NW_LPX_C0623_US_TR_XP13c_off1,626737731842,1
2680060524621,Ad Group For Pin: 687195756196,626735668410,9
2680059781577,Ad Group For Pin: 687195028761,626734566221,0
2680060524591,Ad Group For Pin: 687195756166,626735668386,13
2680061700738,PinOT_KW3_AllPages180_C06Emoji_LPX_C0811_US_TR_XP13x_off1_Mobile,626738597880,28
2680061626106,PinOT_KW3_AllPages180_C07PApplSv2_LPX_C0721_US_TR_XP13x_off1,626737772097,17
2680059808958,Ad Group For Pin: 687195035138,626734569270,0
2680060885690,Ad Group For Pin: 687196105035,626736626284,5
2680059993240,Ad Group For Pin: 687195079155,626734585116,0
2680059655917,Ad Group For Pin: 687195401348,626735476592,5
2680062756971,SeedBid1_US_KW4Makeup_20180702_off1_XP0_LPX_Search_oCPM_1T_Web,626739917307,67
2680061971824,Pin_KW3_HP30D_C06i35-V2A_LP1_C1020_US_TR_XP0_Off1_D2,626738705928,75
2680059614201,Ad Group For Pin: 687195389821,626735472201,0
2680060134970,Ad Group For Pin: 687195116484,626734598943,91
2680060956415,Ad Group For Pin: 687196190136,626736667398,0
2680061971747,Pin_KW3_HP30D_C08MailerGBProduct-Pin_LP1_C1020_US_TR_XP0_Off1_D1,626738705958,0
2680060124547,Ad Group For Pin: 687195318814,626734657863,130
2680060086346,Ad Group For Pin: 687195511701,626735531482,0
2680060191146,Ad Group For Pin: 687195341913,626735453410,9
2680060886894,Ad Group For Pin: 687196106336,626736626534,86
2680062264168,PinBid1_Int2N_C02i33P-NW_LPX_C0920_US_TR_GE_off1_Mobile,626739664283,57
2680059707385,Ad Group For Pin: 687195206843,626734623827,1
2680060956430,Ad Group For Pin: 687196190151,626736667434,275
2680061165593,PinOT_KW2_TopGL_C01i31_LPX_C0227_US_AppX_XP0_off0,626737550257,64
2680060920236,Ad Group For Pin: 687196147783,626736644068,169
2680061626128,PinOT_KW2_Csummer_C07Summer_LPX_C0721_US_TR_XP13x_off1,626737772099,2
